ano;regiao;codRegiao;UF;codUF;municipio;codMunicipio;entidade;codEntidade;matriculas_base
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF HELIO NEVES BOTELHO;11001178;645.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF HENRIQUE DIAS;11001186;199.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF IOLANDA LIMA;11001208;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF IRMA HELENA FALCAO;11001216;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF ERIALDO GOMES DO CARMO;11001224;9.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF JANIO DA SILVA QUADROS;11001240;874.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF JOAO AFRO VIEIRA;11001267;90.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOAQUIM VICENTE RONDON;11001275;1158.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM JOHN KENNEDY;11001283;428.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM JORGE TEIXEIRA DE OLIVEIRA;11001305;624.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF JOSE AUGUSTO DA SILVA;11001313;304.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOSE FERREIRA;11001348;
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;11001364;447.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF LEOCADIO PARDO;11001399;
2023;Norte;1;RO;11;Porto Velho;1100205;COLEGIO TIRADENTES DA POLICIA MILITAR CTPM VII;11001410;583.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PROFESSOR MANOEL GRANGEIRO;11001445;52.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF MANOEL PEDRO PEREIRA;11001461;44.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM MARCOS DE BARROS FREIRE;11001496;1213.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF MARIA A QUEIROZ DE OLIVEIRA;11001500;24.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF MARIA CARMOSINA PINHEIRO;11001526;1306.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF MARIA DA CRUZ MACENA;11001534;
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM MARIANA;11001550;724.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF MORVAN FREIRE BRASIL;11001607;11.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOSE BEDONI;11001615;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF JOSE DE ANCHIETA;11001623;
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM MURILO BRAGA;11001640;1113.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF NACIONAL;11001658;459.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF NACOES UNIDAS;11001666;221.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF NOSSA SENHORA DAS GRACAS;11001712;244.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PADRE JOSE DE ANCHIETA;11001798;43.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF GOVERNADOR PAULO NUNES LEAL;11001810;191.0
